ec_time,ec_mem,overall_lat,emu_startup,rewind,emu_reset,replay,rewind_injections,pkt_lat,drop_lat,timeout,arity,update_pct,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
238445,141800,186939,170279,17,0,0,-1,50,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
238445,141800,20016,1,4,0,0,-1,103,0,216,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
265093,141592,193809,161280,28,0,0,-1,140,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
265093,141592,32800,1,3,0,0,-1,147,0,248,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
208882,141616,156239,140419,17,0,0,-1,108,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
208882,141616,29338,0,2,0,0,-1,60,0,212,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
216145,141972,164568,141202,14,0,0,-1,45,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
216145,141972,26133,1,4,0,0,-1,68,0,220,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
231574,141608,168786,138882,35,0,0,-1,158,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
231574,141608,30028,1,5,0,0,-1,88,0,272,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
179445,141624,129566,117148,11,0,0,-1,130,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
179445,141624,26658,0,1,0,0,-1,68,0,236,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
177571,141664,125148,107619,13,0,0,-1,86,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
177571,141664,20259,0,2,0,0,-1,65,0,193,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
257085,141520,203369,173010,28,0,0,-1,110,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
257085,141520,22109,1,6,0,0,-1,128,0,217,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
247594,141328,190878,168848,24,0,0,-1,101,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
247594,141328,30303,0,4,0,0,-1,101,0,205,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
199036,141644,155496,130414,18,0,0,-1,77,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
199036,141644,13569,0,2,0,0,-1,48,0,201,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
207597,141588,148903,124389,19,0,0,-1,81,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
207597,141588,24763,0,2,0,0,-1,63,0,197,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
273956,141448,236410,222054,30,0,0,-1,72,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
273956,141448,17761,1,4,0,0,-1,83,0,205,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
277555,141564,222351,206377,24,0,0,-1,56,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
277555,141564,25389,0,1,0,0,-1,51,0,212,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
184557,141732,136288,115625,22,0,0,-1,87,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
184557,141732,25511,0,3,0,0,-1,43,0,193,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
