inv_time,inv_memory,network,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
63453,14844,network-all,1,timeout,236,524,0,7349,902,3606,True,112994761,149340
58821,14844,network-all,1,timeout,236,524,0,7349,45,3606,True,112994761,149340
71530,14844,network-all,1,timeout,236,524,0,7349,160,3606,True,112994761,149340
58861,14844,network-all,1,timeout,236,524,0,7349,219,3606,True,112994761,149340
64411,14844,network-all,1,timeout,236,524,0,7349,701,3606,True,112994761,149340
57656,14844,network-all,1,timeout,236,524,0,7349,204,3606,True,112994761,149340
77243,14844,network-all,1,timeout,236,524,0,7349,1007,3606,True,112994761,149340
65662,14844,network-all,1,timeout,236,524,0,7349,823,3606,True,112994761,149340
57258,14844,network-all,1,timeout,236,524,0,7349,97,3606,True,112994761,149340
58523,14844,network-all,1,timeout,236,524,0,7349,958,3606,True,112994761,149340
58332,14844,network-all,1,timeout,236,524,0,7349,830,3606,True,112994761,149340
65457,14844,network-all,1,timeout,236,524,0,7349,963,3606,True,112994761,149340
61058,14844,network-all,1,timeout,236,524,0,7349,278,3606,True,112994761,149340
56488,14844,network-all,1,timeout,236,524,0,7349,537,3606,True,112994761,149340
58045,14844,network-all,1,timeout,236,524,0,7349,607,3606,True,112994761,149340
65301,14844,network-all,1,timeout,236,524,0,7349,702,3606,True,112994761,149340
61948,14844,network-all,1,timeout,236,524,0,7349,1024,3606,True,112994761,149340
58594,14844,network-all,1,timeout,236,524,0,7349,856,3606,True,112994761,149340
63155,14844,network-all,1,timeout,236,524,0,7349,790,3606,True,112994761,149340
58001,14844,network-all,1,timeout,236,524,0,7349,27,3606,True,112994761,149340
58449,14844,network-all,1,timeout,236,524,0,7349,329,3606,True,112994761,149340
58812,14844,network-all,1,timeout,236,524,0,7349,113,3606,True,112994761,149340
82752,14844,network-all,1,timeout,236,524,0,7349,813,3606,True,112994761,149340
65947,14844,network-all,1,timeout,236,524,0,7349,733,3606,True,112994761,149340
58833,14844,network-all,1,timeout,236,524,0,7349,767,3606,True,112994761,149340
60477,14844,network-all,1,timeout,236,524,0,7349,530,3606,True,112994761,149340
57520,14844,network-all,1,timeout,236,524,0,7349,423,3606,True,112994761,149340
62487,14844,network-all,1,timeout,236,524,0,7349,397,3606,True,112994761,149340
60322,14844,network-all,1,timeout,236,524,0,7349,63,3606,True,112994761,149340
58055,14844,network-all,1,timeout,236,524,0,7349,925,3606,True,112994761,149340
59338,14844,network-all,1,timeout,236,524,0,7349,992,3606,True,112994761,149340
62284,14844,network-all,1,timeout,236,524,0,7349,872,3606,True,112994761,149340
64169,14844,network-all,1,timeout,236,524,0,7349,175,3606,True,112994761,149340
59695,14844,network-all,1,timeout,236,524,0,7349,815,3606,True,112994761,149340
60459,14844,network-all,1,timeout,236,524,0,7349,306,3606,True,112994761,149340
63266,14844,network-all,1,timeout,236,524,0,7349,555,3606,True,112994761,149340
59985,14844,network-all,1,timeout,236,524,0,7349,422,3606,True,112994761,149340
66639,14844,network-all,1,timeout,236,524,0,7349,807,3606,True,112994761,149340
68274,14844,network-all,1,timeout,236,524,0,7349,715,3606,True,112994761,149340
65313,14844,network-all,1,timeout,236,524,0,7349,970,3606,True,112994761,149340
57537,14844,network-all,1,timeout,236,524,0,7349,207,3606,True,112994761,149340
59211,14844,network-all,1,timeout,236,524,0,7349,333,3606,True,112994761,149340
58754,14844,network-all,1,timeout,236,524,0,7349,250,3606,True,112994761,149340
59217,14844,network-all,1,timeout,236,524,0,7349,408,3606,True,112994761,149340
66265,14844,network-all,1,timeout,236,524,0,7349,273,3606,True,112994761,149340
66341,14844,network-all,1,timeout,236,524,0,7349,529,3606,True,112994761,149340
60123,14844,network-all,1,timeout,236,524,0,7349,297,3606,True,112994761,149340
58674,14844,network-all,1,timeout,236,524,0,7349,93,3606,True,112994761,149340
63024,14844,network-all,1,timeout,236,524,0,7349,710,3606,True,112994761,149340
59151,14844,network-all,1,timeout,236,524,0,7349,502,3606,True,112994761,149340
61608,14844,network-all,1,timeout,236,524,0,7349,368,3606,True,112994761,149340
67415,14844,network-all,1,timeout,236,524,0,7349,640,3606,True,112994761,149340
58424,14844,network-all,1,timeout,236,524,0,7349,143,3606,True,112994761,149340
60914,14844,network-all,1,timeout,236,524,0,7349,135,3606,True,112994761,149340
67318,14844,network-all,1,timeout,236,524,0,7349,734,3606,True,112994761,149340
70752,14844,network-all,1,timeout,236,524,0,7349,631,3606,True,112994761,149340
68748,14844,network-all,1,timeout,236,524,0,7349,745,3606,True,112994761,149340
59191,14844,network-all,1,timeout,236,524,0,7349,185,3606,True,112994761,149340
65286,14844,network-all,1,timeout,236,524,0,7349,633,3606,True,112994761,149340
60250,14844,network-all,1,timeout,236,524,0,7349,342,3606,True,112994761,149340
59637,14844,network-all,1,timeout,236,524,0,7349,309,3606,True,112994761,149340
60950,14844,network-all,1,timeout,236,524,0,7349,516,3606,True,112994761,149340
60191,14844,network-all,1,timeout,236,524,0,7349,628,3606,True,112994761,149340
65346,14844,network-all,1,timeout,236,524,0,7349,411,3606,True,112994761,149340
70637,14844,network-all,1,timeout,236,524,0,7349,268,3606,True,112994761,149340
62480,14844,network-all,1,timeout,236,524,0,7349,427,3606,True,112994761,149340
64702,14844,network-all,1,timeout,236,524,0,7349,891,3606,True,112994761,149340
58752,14844,network-all,1,timeout,236,524,0,7349,916,3606,True,112994761,149340
61719,14844,network-all,1,timeout,236,524,0,7349,415,3606,True,112994761,149340
70366,14844,network-all,1,timeout,236,524,0,7349,162,3606,True,112994761,149340
59062,14844,network-all,1,timeout,236,524,0,7349,776,3606,True,112994761,149340
67071,14844,network-all,1,timeout,236,524,0,7349,327,3606,True,112994761,149340
61996,14844,network-all,1,timeout,236,524,0,7349,651,3606,True,112994761,149340
62653,14844,network-all,1,timeout,236,524,0,7349,811,3606,True,112994761,149340
64091,14844,network-all,1,timeout,236,524,0,7349,842,3606,True,112994761,149340
66851,14844,network-all,1,timeout,236,524,0,7349,837,3606,True,112994761,149340
59003,14844,network-all,1,timeout,236,524,0,7349,780,3606,True,112994761,149340
60013,14844,network-all,1,timeout,236,524,0,7349,372,3606,True,112994761,149340
58328,14844,network-all,1,timeout,236,524,0,7349,83,3606,True,112994761,149340
96368,14844,network-all,1,timeout,236,524,0,7349,388,3606,True,112994761,149340
79254,14844,network-all,1,timeout,236,524,0,7349,294,3606,True,112994761,149340
63129,14844,network-all,1,timeout,236,524,0,7349,468,3606,True,112994761,149340
76881,14844,network-all,1,timeout,236,524,0,7349,521,3606,True,112994761,149340
60894,14844,network-all,1,timeout,236,524,0,7349,259,3606,True,112994761,149340
59576,14844,network-all,1,timeout,236,524,0,7349,155,3606,True,112994761,149340
56957,14844,network-all,1,timeout,236,524,0,7349,86,3606,True,112994761,149340
56827,14844,network-all,1,timeout,236,524,0,7349,28,3606,True,112994761,149340
58662,14844,network-all,1,timeout,236,524,0,7349,495,3606,True,112994761,149340
68467,14844,network-all,1,timeout,236,524,0,7349,197,3606,True,112994761,149340
61040,14844,network-all,1,timeout,236,524,0,7349,588,3606,True,112994761,149340
68942,14844,network-all,1,timeout,236,524,0,7349,627,3606,True,112994761,149340
58703,14844,network-all,1,timeout,236,524,0,7349,90,3606,True,112994761,149340
59999,14844,network-all,1,timeout,236,524,0,7349,375,3606,True,112994761,149340
59035,14844,network-all,1,timeout,236,524,0,7349,295,3606,True,112994761,149340
57827,14844,network-all,1,timeout,236,524,0,7349,318,3606,True,112994761,149340
62070,14844,network-all,1,timeout,236,524,0,7349,465,3606,True,112994761,149340
61296,14844,network-all,1,timeout,236,524,0,7349,841,3606,True,112994761,149340
62124,14844,network-all,1,timeout,236,524,0,7349,274,3606,True,112994761,149340
62454,14844,network-all,1,timeout,236,524,0,7349,554,3606,True,112994761,149340
64529,14844,network-all,1,timeout,236,524,0,7349,875,3606,True,112994761,149340
60491,14844,network-all,1,timeout,236,524,0,7349,722,3606,True,112994761,149340
