inv_time,inv_memory,network,emulated_pct,fw_leaves_pct,invariants,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
618558,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,4,1,False,7817231,143948
290610,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,1,1,False,7817231,143948
268510,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,9,1,False,7817231,143948
277347,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,8,1,False,7817231,143948
302216,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,12,1,True,7817231,143948
805770,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,15,1,False,7817231,143948
618340,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,7,1,True,7817231,143948
294321,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,11,1,False,7817231,143948
734850,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,6,1,True,7817231,143948
275217,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,10,1,False,7817231,143948
290677,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,2,1,False,7817231,143948
268532,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,14,1,False,7817231,143948
755157,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,13,1,False,7817231,143948
1220377,9452,rocketfuel-bb-AS-1221,4,20,16,1,timeout,108,153,0,21573,3,1,True,7817231,143948
301179,9636,rocketfuel-bb-AS-3967,16,20,16,1,timeout,79,147,0,20727,5,1,True,4477401,144276
340973,9636,rocketfuel-bb-AS-3967,16,20,16,1,timeout,79,147,0,20727,4,1,False,4477401,144276
307470,9636,rocketfuel-bb-AS-3967,16,20,16,1,timeout,79,147,0,20727,1,1,True,4477401,144276
361695,9636,rocketfuel-bb-AS-3967,16,20,16,1,timeout,79,147,0,20727,9,1,False,4477401,144276
563775,9636,rocketfuel-bb-AS-3967,16,20,16,1,timeout,79,147,0,20727,8,1,False,4477401,144276
331770,9636,rocketfuel-bb-AS-3967,16,20,16,1,timeout,79,147,0,20727,12,1,False,4477401,144276
619470,9636,rocketfuel-bb-AS-3967,16,20,16,1,timeout,79,147,0,20727,7,1,False,4477401,144276
276580,9636,rocketfuel-bb-AS-3967,16,20,16,1,timeout,79,147,0,20727,11,1,True,4477401,144276
372079,9636,rocketfuel-bb-AS-3967,16,20,16,1,timeout,79,147,0,20727,6,1,True,4477401,144276
284095,9636,rocketfuel-bb-AS-3967,16,20,16,1,timeout,79,147,0,20727,10,1,False,4477401,144276
314518,9636,rocketfuel-bb-AS-3967,16,20,16,1,timeout,79,147,0,20727,2,1,True,4477401,144276
317890,9636,rocketfuel-bb-AS-3967,16,20,16,1,timeout,79,147,0,20727,3,1,False,4477401,144276
3854658,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,16,1,False,37284176,827712
403699,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,5,1,False,37284176,827712
3747459,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,4,1,False,37284176,827712
2247430,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,1,1,True,37284176,827712
3869939,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,9,1,False,37284176,827712
394342,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,8,1,False,37284176,827712
3827632,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,12,1,False,37284176,827712
2303159,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,15,1,False,37284176,827712
403363,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,7,1,False,37284176,827712
381241,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,11,1,False,37284176,827712
382884,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,6,1,False,37284176,827712
3771031,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,10,1,True,37284176,827712
760329,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,2,1,False,37284176,827712
3796362,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,14,1,False,37284176,827712
746702,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,13,1,False,37284176,827712
3901128,822812,as-733,16,20,16,1,timeout,1470,3131,0,441471,3,1,True,37284176,827712
316848,9420,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,16,1,False,8395719,143628
333619,9276,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,5,1,False,8395719,143628
414320,9420,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,4,1,True,8395719,143628
1017851,9420,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,1,1,False,8395719,143628
425614,9420,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,9,1,False,8395719,143628
318897,9420,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,8,1,False,8395719,143628
357489,9420,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,12,1,True,8395719,143628
411901,9420,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,15,1,False,8395719,143628
780732,9420,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,7,1,False,8395719,143628
332012,9420,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,11,1,False,8395719,143628
706150,9420,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,6,1,True,8395719,143628
946256,9420,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,10,1,False,8395719,143628
390508,9276,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,2,1,False,8395719,143628
414393,9420,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,14,1,True,8395719,143628
729143,9420,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,13,1,True,8395719,143628
399605,9420,rocketfuel-bb-AS-1221,20,20,16,1,timeout,108,153,0,21573,3,1,True,8395719,143628
830939,12864,as-733,4,20,16,1,timeout,103,239,0,33699,16,1,False,11435585,147504
295250,12864,as-733,4,20,16,1,timeout,103,239,0,33699,5,1,False,11435585,147504
1121935,12864,as-733,4,20,16,1,timeout,103,239,0,33699,4,1,False,11435585,147504
867678,12864,as-733,4,20,16,1,timeout,103,239,0,33699,1,1,False,11435585,147504
323131,12864,as-733,4,20,16,1,timeout,103,239,0,33699,9,1,False,11435585,147504
881971,12864,as-733,4,20,16,1,timeout,103,239,0,33699,8,1,True,11435585,147504
1047656,12864,as-733,4,20,16,1,timeout,103,239,0,33699,12,1,False,11435585,147504
939722,12864,as-733,4,20,16,1,timeout,103,239,0,33699,15,1,True,11435585,147504
625190,12864,as-733,4,20,16,1,timeout,103,239,0,33699,7,1,True,11435585,147504
295764,12864,as-733,4,20,16,1,timeout,103,239,0,33699,11,1,False,11435585,147504
