overall_lat,rewind_lat,rewind_injections,pkt_lat,drop_lat,timeout,lbs,servers,algorithm,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated
251073,8,-1,157,0,183,4,4,sh,1,timeout,26,25,0,128,1,1,False
2261139,2100940,4,136,0,220,4,4,sh,1,timeout,26,25,0,128,1,1,False
177260,7,-1,183,0,217,4,4,sh,1,timeout,26,25,0,128,1,1,False
2274913,2071901,2,107,0,262,4,4,sh,1,timeout,26,25,0,128,1,1,False
159571,8,-1,148,0,265,4,4,sh,1,timeout,26,25,0,128,1,1,False
184622,7,-1,128,0,257,4,4,sh,1,timeout,26,25,0,128,1,1,False
184516,8,-1,155,0,241,4,4,sh,1,timeout,26,25,0,128,1,1,False
2037508,1852406,4,140,0,244,4,4,sh,1,timeout,26,25,0,128,1,1,False
176156,8,-1,114,0,233,4,4,sh,1,timeout,26,25,0,128,1,1,False
2251281,2074490,3,117,0,235,4,4,sh,1,timeout,26,25,0,128,1,1,False
159637,8,-1,157,0,232,4,4,sh,1,timeout,26,25,0,128,1,1,False
194129,8,-1,142,0,242,4,4,sh,1,timeout,26,25,0,128,1,1,False
2186290,2001000,4,157,0,242,4,4,sh,1,timeout,26,25,0,128,1,1,False
167775,9,-1,153,0,246,4,4,sh,1,timeout,26,25,0,128,1,1,False
1885751,1699324,3,128,0,216,4,4,sh,1,timeout,26,25,0,128,1,1,False
167748,8,-1,158,0,210,4,4,sh,1,timeout,26,25,0,128,1,1,False
176139,7,-1,126,0,219,4,4,sh,1,timeout,26,25,0,128,1,1,False
2585822,2400782,4,110,0,222,4,4,sh,1,timeout,26,25,0,128,1,1,False
177500,8,-1,157,0,215,4,4,sh,1,timeout,26,25,0,128,1,1,False
1716244,1539519,2,129,0,241,4,4,sh,1,timeout,26,25,0,128,1,1,False
192775,8,-1,138,0,221,4,4,sh,1,timeout,26,25,0,128,1,1,False
201057,8,-1,132,0,212,4,4,sh,1,timeout,26,25,0,128,1,1,False
159443,7,-1,134,0,197,4,4,sh,1,timeout,26,25,0,128,1,1,False
2220579,2052237,4,129,0,181,4,4,sh,1,timeout,26,25,0,128,1,1,False
201156,8,-1,126,0,176,4,4,sh,1,timeout,26,25,0,128,1,1,False
2075947,1907525,3,108,0,185,4,4,sh,1,timeout,26,25,0,128,1,1,False
184391,8,-1,124,0,191,4,4,sh,1,timeout,26,25,0,128,1,1,False
185628,7,-1,115,0,181,4,4,sh,1,timeout,26,25,0,128,1,1,False
2461085,2292542,4,159,0,165,4,4,sh,1,timeout,26,25,0,128,1,1,False
167762,8,-1,132,0,202,4,4,sh,1,timeout,26,25,0,128,1,1,False
2034348,1824294,3,155,0,243,4,4,sh,1,timeout,26,25,0,128,1,1,False
185665,8,-1,113,0,248,4,4,sh,1,timeout,26,25,0,128,1,1,False
167881,7,-1,109,0,244,4,4,sh,1,timeout,26,25,0,128,1,1,False
2236123,2067631,4,165,0,266,4,4,sh,1,timeout,26,25,0,128,1,1,False
185768,8,-1,150,0,271,4,4,sh,1,timeout,26,25,0,128,1,1,False
2163074,1827812,1,158,0,249,4,4,sh,1,timeout,26,25,0,128,1,1,False
169158,8,-1,152,0,252,4,4,sh,1,timeout,26,25,0,128,1,1,False
176215,8,-1,115,0,244,4,4,sh,1,timeout,26,25,0,128,1,1,False
167827,7,-1,130,0,244,4,4,sh,1,timeout,26,25,0,128,1,1,False
167930,8,-1,134,0,233,4,4,sh,1,timeout,26,25,0,128,1,1,False
2120403,1925740,4,113,0,198,4,4,sh,1,timeout,26,25,0,128,1,1,False
192740,8,-1,152,0,195,4,4,sh,1,timeout,26,25,0,128,1,1,False
2284430,2116050,3,123,0,207,4,4,sh,1,timeout,26,25,0,128,1,1,False
168152,4,-1,118,0,197,4,4,sh,1,timeout,26,25,0,128,1,1,False
159293,8,-1,122,0,191,4,4,sh,1,timeout,26,25,0,128,1,1,False
2070717,1902386,4,129,0,179,4,4,sh,1,timeout,26,25,0,128,1,1,False
176236,7,-1,145,0,169,4,4,sh,1,timeout,26,25,0,128,1,1,False
2376440,1949662,3,160,0,190,4,4,sh,1,timeout,26,25,0,128,1,1,False
160779,9,-1,156,0,205,4,4,sh,1,timeout,26,25,0,128,1,1,False
192807,8,-1,131,0,208,4,4,sh,1,timeout,26,25,0,128,1,1,False
2302846,2117654,4,150,0,219,4,4,sh,1,timeout,26,25,0,128,1,1,False
159444,8,-1,132,0,222,4,4,sh,1,timeout,26,25,0,128,1,1,False
1732822,1555950,2,137,0,204,4,4,sh,1,timeout,26,25,0,128,1,1,False
177378,8,-1,109,0,194,4,4,sh,1,timeout,26,25,0,128,1,1,False
184635,8,-1,136,0,199,4,4,sh,1,timeout,26,25,0,128,1,1,False
184512,7,-1,139,0,195,4,4,sh,1,timeout,26,25,0,128,1,1,False
2587269,2426001,4,136,0,179,4,4,sh,1,timeout,26,25,0,128,1,1,False
167936,8,-1,123,0,180,4,4,sh,1,timeout,26,25,0,128,1,1,False
2043234,1849642,3,130,0,234,4,4,sh,1,timeout,26,25,0,128,1,1,False
184436,8,-1,115,0,223,4,4,sh,1,timeout,26,25,0,128,1,1,False
209468,7,-1,151,0,224,4,4,sh,1,timeout,26,25,0,128,1,1,False
2454249,2285732,4,159,0,234,4,4,sh,1,timeout,26,25,0,128,1,1,False
167651,7,-1,131,0,238,4,4,sh,1,timeout,26,25,0,128,1,1,False
2026097,1849205,3,134,0,231,4,4,sh,1,timeout,26,25,0,128,1,1,False
160625,7,-1,131,0,220,4,4,sh,1,timeout,26,25,0,128,1,1,False
167841,8,-1,129,0,214,4,4,sh,1,timeout,26,25,0,128,1,1,False
2344858,2168032,4,116,0,207,4,4,sh,1,timeout,26,25,0,128,1,1,False
167829,7,-1,152,0,200,4,4,sh,1,timeout,26,25,0,128,1,1,False
1734203,1539529,2,165,0,225,4,4,sh,1,timeout,26,25,0,128,1,1,False
192807,8,-1,118,0,247,4,4,sh,1,timeout,26,25,0,128,1,1,False
209584,8,-1,160,0,244,4,4,sh,1,timeout,26,25,0,128,1,1,False
217703,7,-1,155,0,249,4,4,sh,1,timeout,26,25,0,128,1,1,False
2628935,2442585,4,108,0,267,4,4,sh,1,timeout,26,25,0,128,1,1,False
176334,8,-1,118,0,250,4,4,sh,1,timeout,26,25,0,128,1,1,False
2009239,1841001,3,156,0,229,4,4,sh,1,timeout,26,25,0,128,1,1,False
209627,4,-1,153,0,245,4,4,sh,1,timeout,26,25,0,128,1,1,False
209690,9,-1,133,0,249,4,4,sh,1,timeout,26,25,0,128,1,1,False
2437664,2252445,4,133,0,216,4,4,sh,1,timeout,26,25,0,128,1,1,False
184355,7,-1,126,0,210,4,4,sh,1,timeout,26,25,0,128,1,1,False
2609995,2374771,3,137,0,201,4,4,sh,1,timeout,26,25,0,128,1,1,False
219026,8,-1,155,0,197,4,4,sh,1,timeout,26,25,0,128,1,1,False
184299,8,-1,145,0,211,4,4,sh,1,timeout,26,25,0,128,1,1,False
2219573,2051116,4,134,0,205,4,4,sh,1,timeout,26,25,0,128,1,1,False
176072,7,-1,130,0,195,4,4,sh,1,timeout,26,25,0,128,1,1,False
2107520,1939222,2,132,0,179,4,4,sh,1,timeout,26,25,0,128,1,1,False
160699,7,-1,128,0,174,4,4,sh,1,timeout,26,25,0,128,1,1,False
193228,4,-1,103,0,173,4,4,sh,1,timeout,26,25,0,128,1,1,False
192995,4,-1,132,0,187,4,4,sh,1,timeout,26,25,0,128,1,1,False
2270733,2084137,4,84,0,203,4,4,sh,1,timeout,26,25,0,128,1,1,False
167490,8,-1,138,0,220,4,4,sh,1,timeout,26,25,0,128,1,1,False
2384972,2191366,3,154,0,207,4,4,sh,1,timeout,26,25,0,128,1,1,False
226263,8,-1,119,0,228,4,4,sh,1,timeout,26,25,0,128,1,1,False
184569,7,-1,150,0,217,4,4,sh,1,timeout,26,25,0,128,1,1,False
2038239,1869786,4,132,0,248,4,4,sh,1,timeout,26,25,0,128,1,1,False
159329,7,-1,154,0,232,4,4,sh,1,timeout,26,25,0,128,1,1,False
2142920,1707798,3,134,0,231,4,4,sh,1,timeout,26,25,0,128,1,1,False
227213,7,-1,155,0,216,4,4,sh,1,timeout,26,25,0,128,1,1,False
201181,7,-1,139,0,219,4,4,sh,1,timeout,26,25,0,128,1,1,False
2086508,1909683,4,132,0,228,4,4,sh,1,timeout,26,25,0,128,1,1,False
167724,9,-1,152,0,217,4,4,sh,1,timeout,26,25,0,128,1,1,False
1539540,1387618,1,148,0,210,4,4,sh,1,timeout,26,25,0,128,1,1,False
159524,8,-1,118,0,206,4,4,sh,1,timeout,26,25,0,128,1,1,False
169092,7,-1,133,0,212,4,4,sh,1,timeout,26,25,0,128,1,1,False
184462,7,-1,127,0,202,4,4,sh,1,timeout,26,25,0,128,1,1,False
184435,7,-1,167,0,200,4,4,sh,1,timeout,26,25,0,128,1,1,False
2513456,2310590,4,133,0,212,4,4,sh,1,timeout,26,25,0,128,1,1,False
218168,4,-1,114,0,203,4,4,sh,1,timeout,26,25,0,128,1,1,False
1925939,1757401,3,110,0,191,4,4,sh,1,timeout,26,25,0,128,1,1,False
159557,7,-1,141,0,188,4,4,sh,1,timeout,26,25,0,128,1,1,False
242916,8,-1,144,0,196,4,4,sh,1,timeout,26,25,0,128,1,1,False
2412607,2235839,4,105,0,228,4,4,sh,1,timeout,26,25,0,128,1,1,False
159836,7,-1,110,0,241,4,4,sh,1,timeout,26,25,0,128,1,1,False
1885188,1716791,3,128,0,207,4,4,sh,1,timeout,26,25,0,128,1,1,False
169314,4,-1,132,0,192,4,4,sh,1,timeout,26,25,0,128,1,1,False
159474,7,-1,112,0,188,4,4,sh,1,timeout,26,25,0,128,1,1,False
2202774,2034351,4,140,0,211,4,4,sh,1,timeout,26,25,0,128,1,1,False
167904,8,-1,152,0,201,4,4,sh,1,timeout,26,25,0,128,1,1,False
2007831,1847874,2,112,0,242,4,4,sh,1,timeout,26,25,0,128,1,1,False
177181,7,-1,157,0,237,4,4,sh,1,timeout,26,25,0,128,1,1,False
159343,8,-1,150,0,242,4,4,sh,1,timeout,26,25,0,128,1,1,False
175897,7,-1,155,0,239,4,4,sh,1,timeout,26,25,0,128,1,1,False
2318995,2109103,4,138,0,209,4,4,sh,1,timeout,26,25,0,128,1,1,False
