ec_time,ec_mem,overall_lat,emu_startup,rewind,emu_reset,replay,rewind_injections,pkt_lat,drop_lat,timeout,apps,hosts,procs,drop_method,fault,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
444822,223400,209836,179540,34,0,0,-1,73,0,280,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
420289,223400,188538,158257,28,0,0,-1,106,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
420289,223400,202997,172818,35,0,0,-1,77,0,249,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
470467,223400,203176,172316,40,0,0,-1,107,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
470467,223400,238101,207026,37,0,0,-1,81,0,250,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
419973,223400,201258,171133,34,0,0,-1,108,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
419973,223400,192938,161435,43,0,0,-1,109,0,255,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
443346,223400,212770,182809,29,0,0,-1,104,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
443346,223400,205760,174717,37,0,0,-1,72,0,249,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
427870,223400,225835,206377,33,0,0,-1,101,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
427870,223400,179101,149080,31,0,0,-1,108,0,243,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
405959,223400,183966,163771,35,0,0,-1,101,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
405959,223400,198882,167808,41,0,0,-1,109,0,243,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
426066,223400,197955,167299,28,0,0,-1,63,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
426066,223400,198693,177874,38,0,0,-1,73,0,257,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
413794,223400,183122,152998,37,0,0,-1,139,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
413794,223400,207087,175702,34,0,0,-1,72,0,286,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
458461,223400,211810,180475,34,0,0,-1,108,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
458461,223400,217836,187703,43,0,0,-1,94,0,255,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
379372,223400,164508,145018,33,0,0,-1,101,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
379372,223400,188687,168970,31,0,0,-1,104,0,243,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
422558,223400,195577,164414,32,0,0,-1,100,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
422558,223400,204236,182817,33,0,0,-1,102,0,243,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
456999,223400,232509,210575,38,0,0,-1,109,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
456999,223400,194661,170032,16,0,0,-1,50,0,255,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
384020,223400,169946,149438,43,0,0,-1,125,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
384020,223400,191999,160650,36,0,0,-1,71,0,273,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
475409,223400,198148,164222,55,0,0,-1,113,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
475409,223400,248030,214625,35,0,0,-1,85,0,261,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
510119,223400,232657,197663,39,0,0,-1,108,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
510119,223400,250356,217852,34,0,0,-1,184,0,255,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
456179,223400,223912,191452,34,0,0,-1,117,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
456179,223400,207518,186937,40,0,0,-1,108,0,262,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
